"country","year","continent","oil_consumption"
"Morocco",2014,"Africa",5.00122448434207
"Morocco",2015,"Africa",4.97835312017553
"Morocco",2016,"Africa",5.00212585798881
"Morocco",2017,"Africa",5.05924766468357
"Morocco",2018,"Africa",5.0350286749294
"Morocco",2019,"Africa",5.06054863678828
"China",1965,"Asia",4.86037813577834
"China",1966,"Asia",5.11084255451328
"China",1967,"Asia",5.09805381041564
"China",1968,"Asia",5.18763717089396
"China",1969,"Asia",5.48086806375399
"China",1970,"Asia",5.80530362939131
"China",1971,"Asia",6.11277025973468
"China",1972,"Asia",6.2532651912329
"China",1973,"Asia",6.45203949067005
"China",1974,"Asia",6.59178895170806
"China",1975,"Asia",6.68970995956997
"China",1976,"Asia",6.82350046282165
"China",1977,"Asia",6.87838001989552
"China",1978,"Asia",6.981607789937
"China",1979,"Asia",6.9840772270529
"China",1980,"Asia",6.91941899264145
"China",1981,"Asia",6.86736756514837
"China",1982,"Asia",6.85744045310652
"China",1983,"Asia",6.8792755543269
"China",1984,"Asia",6.91553196204496
"China",1985,"Asia",6.96155193733778
"China",1986,"Asia",7.02338934058024
"China",1987,"Asia",7.08428258145976
"China",1988,"Asia",7.15665546198343
"China",1989,"Asia",7.20279670483971
"China",1990,"Asia",7.19412073507486
"China",1991,"Asia",7.27217545105377
"China",1992,"Asia",7.35621154726872
"China",1993,"Asia",7.45627025165379
"China",1994,"Asia",7.46972885657425
"China",1995,"Asia",7.54970442377518
"China",1996,"Asia",7.64150731048838
"China",1997,"Asia",7.72898208073003
"China",1998,"Asia",7.75593246693323
"China",1999,"Asia",7.81810077290038
"China",2000,"Asia",7.88651326339731
"China",2001,"Asia",7.90871063637745
"China",2002,"Asia",7.98549150442781
"China",2003,"Asia",8.09301518404257
"China",2004,"Asia",8.24802795266196
"China",2005,"Asia",8.26533838858787
"China",2006,"Asia",8.33686676302933
"China",2007,"Asia",8.38504507020196
"China",2008,"Asia",8.40495217038793
"China",2009,"Asia",8.44189491112678
"China",2010,"Asia",8.57083992429366
"China",2011,"Asia",8.60654785409953
"China",2012,"Asia",8.65368614428877
"China",2013,"Asia",8.69666636207396
"China",2014,"Asia",8.73673506446717
"China",2015,"Asia",8.80070548240007
"China",2016,"Asia",8.82581738874898
"China",2017,"Asia",8.86805285936625
"China",2018,"Asia",8.90700590408937
"China",2019,"Asia",8.95566693711537
"USSR",1965,"Asia",7.59832965271114
"USSR",1966,"Asia",7.66681144741098
"USSR",1967,"Asia",7.75257363937686
"USSR",1968,"Asia",7.81646857446093
"USSR",1969,"Asia",7.87792454064124
